timestamp,signal_timestamp,entry_timestamp,exit_timestamp,signal,direction,score,reasons,entry,exit,pnl,outcome,duration_bars,duration_minutes,mfe_r,mae_r,rr_realized,rr_model,exit_reason,drawdown,volume_z,delta_z,cvd_slope_z,cvd_condition,delta_condition,buy_sell_ratio,big_trade,vwap,distance_to_poc,target_price,target_r
2026-03-02 13:45:00+00:00,2026-03-02 13:45:00+00:00,2026-03-02 13:50:00+00:00,2026-03-02 14:25:00+00:00,SHORT,SHORT,-3.75,"{""relative_volume"":""HIGH"",""delta"":""SELL"",""cvd"":""DOWN"",""aggressive_flow"":""SELL"",""vwap"":""SHORT_CONFLUENCE"",""price_vs_poc"":""BELOW""}",65446.9,65610.51725,-49.45686562923078,LOSS,8,40,1.2987628138231144,1.1808045912029712,-1.0000000000000182,2.0,stop_loss,6.776988058459466,1.6912007773690865,-1.824408073529996,-3.771863253898412,DOWN,SELL,0.6349460851705232,False,66242.14860862792,-0.012430000611181656,65119.6655,2.0
2026-03-02 14:30:00+00:00,2026-03-02 14:30:00+00:00,2026-03-02 14:35:00+00:00,2026-03-02 14:35:00+00:00,LONG,LONG,4.75,"{""relative_volume"":""HIGH"",""delta"":""BUY"",""cvd"":""UP"",""aggressive_flow"":""BUY"",""vwap"":""LONG_CONFLUENCE"",""price_vs_poc"":""ABOVE""}",66222.2,66056.6445,-49.209581301084384,LOSS,1,5,1.167584284424274,1.157315824602573,-1.0000000000000133,2.0,stop_loss,6.776988058459466,6.074834360830837,6.151644696408659,3.7881109018112986,UP,BUY,1.6677317314429378,False,66172.98919900067,0.0024791460291380013,66553.311,2.0
2026-03-02 14:45:00+00:00,2026-03-02 14:45:00+00:00,2026-03-02 14:50:00+00:00,2026-03-02 15:00:00+00:00,LONG,LONG,4.0,"{""relative_volume"":""HIGH"",""delta"":""BUY"",""cvd"":""UP"",""vwap"":""LONG_CONFLUENCE"",""price_vs_poc"":""ABOVE""}",66950.6,67285.353,97.9270667891557,WIN,3,15,2.671223260135032,0.8830391363184371,1.9999999999999818,2.0,take_profit,6.776988058459466,3.0649079515505107,2.7404883874826256,3.8393297765272307,UP,BUY,1.4168535541172211,False,66204.3192015737,0.01409768680536561,67285.353,2.0
2026-03-02 15:05:00+00:00,2026-03-02 15:05:00+00:00,2026-03-02 15:10:00+00:00,2026-03-02 15:10:00+00:00,LONG,LONG,4.75,"{""relative_volume"":""HIGH"",""delta"":""BUY"",""cvd"":""UP"",""aggressive_flow"":""BUY"",""vwap"":""LONG_CONFLUENCE"",""price_vs_poc"":""ABOVE""}",67701.1,68039.6055,98.90633745704797,WIN,1,5,4.400519341635444,0.041358264489055566,1.9999999999999958,2.0,take_profit,6.776988058459466,3.1220719297613355,4.552693433560631,3.58781964046956,UP,BUY,1.7964996331872216,False,66331.54428495583,0.0245949099717878,68039.6055,2.0
2026-03-02 15:35:00+00:00,2026-03-02 15:35:00+00:00,2026-03-02 15:40:00+00:00,2026-03-02 15:40:00+00:00,LONG,LONG,4.75,"{""relative_volume"":""HIGH"",""delta"":""BUY"",""cvd"":""UP"",""aggressive_flow"":""BUY"",""vwap"":""LONG_CONFLUENCE"",""price_vs_poc"":""ABOVE""}",69409.6,69236.076,-49.94770041581073,LOSS,1,5,0.4575735921255513,1.552522993937488,-1.000000000000028,2.0,stop_loss,6.776988058459466,2.830601902730079,2.861601827889492,0.9026683087150715,UP,BUY,1.525500957580171,False,66779.20198865722,0.011017912481972982,69756.648,2.0
2026-03-02 16:35:00+00:00,2026-03-02 16:35:00+00:00,2026-03-02 16:40:00+00:00,2026-03-02 16:40:00+00:00,SHORT,SHORT,-3.75,"{""delta"":""SELL"",""cvd"":""DOWN"",""aggressive_flow"":""SELL"",""vwap"":""NO_CONFLUENCE"",""price_vs_poc"":""BELOW""}",69136.0,69308.84,-49.69796191372927,LOSS,1,5,0.06422124508219058,4.084702615135385,-0.9999999999999797,2.0,stop_loss,6.776988058459466,0.3457176089805876,-1.9115261598749558,-1.08973695947225,DOWN,SELL,0.5166047860971655,False,67236.75613519395,-0.0019217830241124829,68790.32,2.0
2026-03-02 16:55:00+00:00,2026-03-02 16:55:00+00:00,2026-03-02 17:00:00+00:00,2026-03-02 17:40:00+00:00,SHORT,SHORT,-3.75,"{""delta"":""SELL"",""cvd"":""DOWN"",""aggressive_flow"":""SELL"",""vwap"":""NO_CONFLUENCE"",""price_vs_poc"":""ABOVE""}",69395.2,69048.224,98.89894420832186,WIN,9,45,3.563358849027005,0.8876694641704326,1.9999999999999718,2.0,take_profit,6.776988058459466,0.20197885731150705,-1.7438787354683558,-0.5016684207544265,DOWN,SELL,0.5273685902522801,False,67403.08114440537,7.44523668167941e-05,69048.224,2.0
2026-03-02 17:40:00+00:00,2026-03-02 17:40:00+00:00,2026-03-02 17:45:00+00:00,2026-03-02 17:45:00+00:00,SHORT,SHORT,-3.75,"{""delta"":""SELL"",""cvd"":""DOWN"",""aggressive_flow"":""SELL"",""vwap"":""NO_CONFLUENCE"",""price_vs_poc"":""BELOW""}",68813.3,68985.33325,-49.943966825201244,LOSS,1,5,0.32377461915064143,1.0375901170267956,-0.99999999999996,2.0,stop_loss,6.776988058459466,-0.09654632686460074,-1.4588549355588356,-1.1313880807570371,DOWN,SELL,0.5329503072837268,False,67492.87199929672,-0.008385479184771283,68469.2335,2.0
2026-03-02 21:00:00+00:00,2026-03-02 21:00:00+00:00,2026-03-02 21:05:00+00:00,2026-03-02 21:30:00+00:00,LONG,LONG,4.25,"{""delta"":""BUY"",""cvd"":""UP"",""aggressive_flow"":""BUY"",""vwap"":""LONG_CONFLUENCE"",""price_vs_poc"":""BELOW""}",69047.0,69392.235,99.38849398215464,WIN,6,30,2.033397540805538,0.11296653004475211,2.0000000000000036,2.0,take_profit,6.776988058459466,-0.1246956865657968,1.053497170436113,0.9784436384699551,UP,BUY,1.6188208851908628,False,67695.40472666951,-0.0014250579437070027,69392.235,2.0
2026-03-02 23:40:00+00:00,2026-03-02 23:40:00+00:00,2026-03-02 23:45:00+00:00,2026-03-03 00:00:00+00:00,SHORT,SHORT,-3.75,"{""delta"":""SELL"",""cvd"":""DOWN"",""aggressive_flow"":""SELL"",""vwap"":""NO_CONFLUENCE"",""price_vs_poc"":""BELOW""}",68763.4,68935.3085,-50.19118946098948,LOSS,4,20,0.3688008446353391,1.161664490121266,-1.000000000000029,2.0,stop_loss,6.776988058459466,-0.026163528882021007,-1.9045010834150728,-2.4939190086252188,DOWN,SELL,0.48707613162269836,False,67771.54094565856,-0.002099893741922928,68419.583,2.0
2026-03-03 00:15:00+00:00,2026-03-03 00:15:00+00:00,2026-03-03 00:20:00+00:00,2026-03-03 00:30:00+00:00,SHORT,SHORT,-4.25,"{""delta"":""SELL"",""cvd"":""DOWN"",""aggressive_flow"":""SELL"",""vwap"":""SHORT_CONFLUENCE"",""price_vs_poc"":""BELOW""}",68680.9,68852.60225,-49.94023351368367,LOSS,3,15,0.47116447221858876,1.6394659941847005,-1.0000000000000124,2.0,stop_loss,6.776988058459466,-0.35164543896170136,-1.4608207291746247,-0.5153741898801096,DOWN,SELL,0.5359302177973633,False,68836.97273920522,-0.0016211725222405032,68337.49549999999,2.0
2026-03-03 01:20:00+00:00,2026-03-03 01:20:00+00:00,2026-03-03 01:25:00+00:00,2026-03-03 01:30:00+00:00,LONG,LONG,4.25,"{""delta"":""BUY"",""cvd"":""UP"",""aggressive_flow"":""BUY"",""vwap"":""LONG_CONFLUENCE"",""price_vs_poc"":""BELOW""}",68971.7,68799.27075,-49.69053234611494,LOSS,2,10,0.4152427734853908,1.4539296552063938,-1.000000000000006,2.0,stop_loss,6.776988058459466,0.8388129796872128,2.652330428441391,1.4241475010437779,UP,BUY,2.6647626966138565,False,68920.36348272992,-0.00466930639668158,69316.5585,2.0
2026-03-03 02:00:00+00:00,2026-03-03 02:00:00+00:00,2026-03-03 02:05:00+00:00,2026-03-03 02:20:00+00:00,SHORT,SHORT,-3.75,"{""relative_volume"":""HIGH"",""delta"":""SELL"",""cvd"":""DOWN"",""aggressive_flow"":""SELL"",""vwap"":""SHORT_CONFLUENCE"",""price_vs_poc"":""BELOW""}",68547.5,68204.7625,98.88415936876898,WIN,4,20,2.3656588497027267,0.7288376673109548,2.000000000000017,2.0,take_profit,6.776988058459466,5.161071037794423,-4.0820144359451405,-2.658829033700716,DOWN,SELL,0.6345537122236725,False,68853.76706793802,-0.005809179730619438,68204.7625,2.0
2026-03-03 02:20:00+00:00,2026-03-03 02:20:00+00:00,2026-03-03 02:25:00+00:00,2026-03-03 02:45:00+00:00,SHORT,SHORT,-3.0,"{""relative_volume"":""HIGH"",""delta"":""SELL"",""cvd"":""DOWN"",""vwap"":""SHORT_CONFLUENCE"",""price_vs_poc"":""BELOW""}",68344.9,68515.76225,-49.93650048122955,LOSS,5,25,0.15568096522193328,1.4871629046205692,-1.0000000000000329,2.0,stop_loss,6.776988058459466,5.18356734166346,-3.7740449226544044,-3.581257799035544,DOWN,SELL,0.7021148409119328,False,68736.5796944996,-0.009035012314970729,68003.1755,2.0
2026-03-03 02:45:00+00:00,2026-03-03 02:45:00+00:00,2026-03-03 02:50:00+00:00,2026-03-03 03:00:00+00:00,LONG,LONG,3.75,"{""delta"":""BUY"",""cvd"":""UP"",""aggressive_flow"":""BUY"",""vwap"":""NO_CONFLUENCE"",""price_vs_poc"":""ABOVE""}",68551.9,68380.52025,-49.68681797881967,LOSS,3,15,0.07293743864137975,1.1775020094263666,-0.9999999999999578,2.0,stop_loss,6.776988058459466,-0.07631850935541305,1.2335449996549532,1.926535912908821,UP,BUY,2.1790758604263427,False,68696.66723232804,0.003152594624032393,68894.6595,2.0
2026-03-03 04:45:00+00:00,2026-03-03 04:45:00+00:00,2026-03-03 04:50:00+00:00,2026-03-03 05:05:00+00:00,SHORT,SHORT,-3.75,"{""relative_volume"":""HIGH"",""delta"":""SELL"",""cvd"":""DOWN"",""aggressive_flow"":""SELL"",""vwap"":""SHORT_CONFLUENCE"",""price_vs_poc"":""BELOW""}",68067.9,68238.06975,-49.43838388892794,LOSS,4,20,0.39313685305404855,1.4426770915512306,-1.0000000000000056,2.0,stop_loss,6.776988058459466,1.232352371942908,-2.956146461255077,-1.71811298670039,DOWN,SELL,0.39929123247369125,False,68588.49484077079,-0.0036135486281591534,67727.56049999999,2.0
2026-03-03 05:15:00+00:00,2026-03-03 05:15:00+00:00,2026-03-03 05:20:00+00:00,2026-03-03 05:20:00+00:00,LONG,LONG,4.25,"{""relative_volume"":""HIGH"",""delta"":""BUY"",""cvd"":""UP"",""aggressive_flow"":""BUY"",""vwap"":""NO_CONFLUENCE"",""price_vs_poc"":""ABOVE""}",68480.0,68308.8,-49.19119196948219,LOSS,1,5,0.0005841121495667101,1.1875000000000169,-0.9999999999999828,2.0,stop_loss,6.776988058459466,1.6190563513820881,2.4779728094506828,2.1828793450963184,UP,BUY,1.9185116999086047,False,68549.47057305495,0.002168817413136707,68822.4,2.0
2026-03-03 05:45:00+00:00,2026-03-03 05:45:00+00:00,2026-03-03 05:50:00+00:00,2026-03-03 06:00:00+00:00,SHORT,SHORT,-3.75,"{""relative_volume"":""HIGH"",""delta"":""SELL"",""cvd"":""DOWN"",""aggressive_flow"":""SELL"",""vwap"":""SHORT_CONFLUENCE"",""price_vs_poc"":""BELOW""}",67835.5,68005.08875,-48.945236009634264,LOSS,3,15,0.20343330557009234,1.0342667187534207,-0.9999999999999725,2.0,stop_loss,6.776988058459466,2.173372147654169,-3.739157495772516,-2.398604421163382,DOWN,SELL,0.3974543535210573,False,68494.18648225299,-0.007223981382385688,67496.3225,2.0
2026-03-03 06:55:00+00:00,2026-03-03 06:55:00+00:00,2026-03-03 07:00:00+00:00,2026-03-03 08:20:00+00:00,LONG,LONG,4.25,"{""relative_volume"":""HIGH"",""delta"":""BUY"",""cvd"":""UP"",""aggressive_flow"":""BUY"",""vwap"":""NO_CONFLUENCE"",""price_vs_poc"":""ABOVE""}",68070.0,67899.825,-48.70050982958827,LOSS,17,85,1.2434258851182947,1.4561480828559006,-1.000000000000017,2.0,stop_loss,6.776988058459466,2.020045890005411,2.9062462993196503,1.4612372656397992,UP,BUY,2.475415818776878,False,68386.72035933724,0.0024510308016256776,68410.35,2.0
2026-03-03 08:20:00+00:00,2026-03-03 08:20:00+00:00,2026-03-03 08:25:00+00:00,2026-03-03 08:35:00+00:00,SHORT,SHORT,-4.25,"{""delta"":""SELL"",""cvd"":""DOWN"",""aggressive_flow"":""SELL"",""vwap"":""SHORT_CONFLUENCE"",""price_vs_poc"":""ABOVE""}",67898.0,67558.51,96.91401456088047,WIN,3,15,2.5279095113258463,0.021208283012788716,2.0000000000000306,2.0,take_profit,6.776988058459466,0.950123540990436,-1.0812033081941783,-0.6260147998471574,DOWN,SELL,0.6671159029649596,False,68334.11705940134,0.0003166202981626058,67558.51,2.0
2026-03-03 08:35:00+00:00,2026-03-03 08:35:00+00:00,2026-03-03 08:40:00+00:00,2026-03-03 08:45:00+00:00,SHORT,SHORT,-3.0,"{""relative_volume"":""HIGH"",""delta"":""SELL"",""cvd"":""DOWN"",""vwap"":""SHORT_CONFLUENCE"",""price_vs_poc"":""BELOW""}",67482.0,67144.59,97.8831547064888,WIN,2,10,2.324175335645095,0.05749681396518828,2.0000000000000204,2.0,take_profit,6.776988058459466,1.9966132696217067,-1.172636266728129,-1.9216449900509005,DOWN,SELL,0.7461715085511361,False,68278.08624234561,-0.00621864282619996,67144.59,2.0
2026-03-03 09:15:00+00:00,2026-03-03 09:15:00+00:00,2026-03-03 09:20:00+00:00,2026-03-03 09:20:00+00:00,LONG,LONG,3.75,"{""delta"":""BUY"",""cvd"":""UP"",""aggressive_flow"":""BUY"",""vwap"":""NO_CONFLUENCE"",""price_vs_poc"":""BELOW""}",67102.6,66934.8435,-49.43099312677726,LOSS,1,5,0.0,1.1999535040371185,-1.0000000000000187,2.0,stop_loss,6.776988058459466,0.44645746434866496,1.6072068702853608,1.351165004945475,UP,BUY,1.9338327302242213,False,68020.70019690887,-0.011548312015264107,67438.11300000001,2.0
2026-03-03 09:30:00+00:00,2026-03-03 09:30:00+00:00,2026-03-03 09:35:00+00:00,2026-03-03 10:45:00+00:00,SHORT,SHORT,-3.0,"{""relative_volume"":""HIGH"",""delta"":""SELL"",""cvd"":""DOWN"",""vwap"":""SHORT_CONFLUENCE"",""price_vs_poc"":""BELOW""}",66587.9,66754.36975,-49.18383816114359,LOSS,15,75,1.3227628443005237,2.6893774995157482,-1.0000000000000233,2.0,stop_loss,6.776988058459466,2.910687656227702,-1.5853998184611051,-0.7313849983659788,DOWN,SELL,0.7635562544353623,False,67895.9654523456,-0.023194939613562626,66254.9605,2.0
2026-03-03 10:45:00+00:00,2026-03-03 10:45:00+00:00,2026-03-03 10:50:00+00:00,2026-03-03 10:50:00+00:00,LONG,LONG,4.25,"{""relative_volume"":""HIGH"",""delta"":""BUY"",""cvd"":""UP"",""aggressive_flow"":""BUY"",""vwap"":""NO_CONFLUENCE"",""price_vs_poc"":""BELOW""}",66942.0,66774.645,-48.937918970335545,LOSS,1,5,0.0005975321920816275,1.3856771533566024,-0.9999999999999758,2.0,stop_loss,6.776988058459466,1.6667991737105088,3.35752254417221,1.3608017047354148,UP,BUY,2.2710376524613145,False,67708.46308114592,-0.014377443342829144,67276.71,2.0
2026-03-03 12:05:00+00:00,2026-03-03 12:05:00+00:00,2026-03-03 12:10:00+00:00,2026-03-03 12:10:00+00:00,LONG,LONG,4.25,"{""relative_volume"":""HIGH"",""delta"":""BUY"",""cvd"":""UP"",""aggressive_flow"":""BUY"",""vwap"":""NO_CONFLUENCE"",""price_vs_poc"":""ABOVE""}",67478.9,67816.29449999999,97.38645875096864,WIN,1,5,3.088965587761542,0.28690449903596044,1.99999999999997,2.0,take_profit,6.776988058459466,1.4750324150982919,1.8588085843043225,1.0859049879716753,UP,BUY,1.6258990822855983,False,67618.20786308155,0.0073520095140710015,67816.29449999999,2.0
2026-03-03 13:00:00+00:00,2026-03-03 13:00:00+00:00,2026-03-03 13:05:00+00:00,2026-03-03 13:45:00+00:00,SHORT,SHORT,-4.25,"{""delta"":""SELL"",""cvd"":""DOWN"",""aggressive_flow"":""SELL"",""vwap"":""SHORT_CONFLUENCE"",""price_vs_poc"":""ABOVE""}",67122.0,66786.39,98.36032333847996,WIN,9,45,3.1077739042340813,0.6078483954590149,2.000000000000003,2.0,take_profit,6.776988058459466,-0.04409061796174595,-1.32968429888018,-0.923094449825795,DOWN,SELL,0.575571591210635,False,67607.41116518389,0.002073925726400141,66786.39,2.0
2026-03-03 13:30:00+00:00,2026-03-03 13:30:00+00:00,2026-03-03 13:35:00+00:00,2026-03-03 13:45:00+00:00,SHORT,SHORT,-3.5,"{""delta"":""SELL"",""cvd"":""DOWN"",""vwap"":""SHORT_CONFLUENCE"",""price_vs_poc"":""BELOW""}",67005.1,66670.0745,99.3439265718656,WIN,3,15,2.4153385339325264,0.24356354964018176,2.00000000000002,2.0,take_profit,6.776988058459466,0.2692167683110189,-1.0160106685321002,-1.192977835283253,DOWN,SELL,0.6706607814444915,False,67585.5460906159,-0.0003323446011492114,66670.0745,2.0
2026-03-03 14:40:00+00:00,2026-03-03 14:40:00+00:00,2026-03-03 14:45:00+00:00,2026-03-03 14:45:00+00:00,SHORT,SHORT,-3.75,"{""relative_volume"":""HIGH"",""delta"":""SELL"",""cvd"":""DOWN"",""aggressive_flow"":""SELL"",""vwap"":""SHORT_CONFLUENCE"",""price_vs_poc"":""BELOW""}",66428.7,66594.77175,-50.16868291879248,LOSS,1,5,2.099694860805628,1.3668790748577044,-1.0000000000000167,2.0,stop_loss,6.776988058459466,3.58610284262613,-3.7845676619211774,-1.9669455829632692,DOWN,SELL,0.6033048652678396,False,67491.53146297867,-0.009566850723934909,66096.55649999999,2.0
2026-03-03 15:30:00+00:00,2026-03-03 15:30:00+00:00,2026-03-03 15:35:00+00:00,2026-03-03 15:40:00+00:00,LONG,LONG,3.5,"{""relative_volume"":""HIGH"",""delta"":""BUY"",""cvd"":""UP"",""vwap"":""NO_CONFLUENCE"",""price_vs_poc"":""ABOVE""}",67215.7,67551.7785,99.8356790083963,WIN,2,10,3.6610494274402976,0.08747956206658318,2.0000000000000195,2.0,take_profit,6.776988058459466,1.2172992950936838,1.273230017814369,0.8479779184179873,UP,BUY,1.2935167285386404,False,67409.26556218148,0.0020173888204524813,67551.7785,2.0
2026-03-03 15:45:00+00:00,2026-03-03 15:45:00+00:00,2026-03-03 15:50:00+00:00,2026-03-03 15:50:00+00:00,LONG,LONG,4.0,"{""relative_volume"":""HIGH"",""delta"":""BUY"",""cvd"":""UP"",""vwap"":""LONG_CONFLUENCE"",""price_vs_poc"":""ABOVE""}",67740.0,67570.65,-50.41701789924138,LOSS,1,5,0.0,1.6953055801594676,-1.0000000000000344,2.0,stop_loss,6.776988058459466,1.024220188741197,1.720687824723735,1.6722833483013146,UP,BUY,1.428381106055141,False,67417.23444379332,0.009741673666480084,68078.7,2.0
2026-03-03 16:00:00+00:00,2026-03-03 16:00:00+00:00,2026-03-03 16:05:00+00:00,2026-03-03 16:05:00+00:00,LONG,LONG,3.5,"{""delta"":""BUY"",""cvd"":""UP"",""vwap"":""LONG_CONFLUENCE"",""price_vs_poc"":""ABOVE""}",67904.2,68243.72099999999,100.32986561948492,WIN,1,5,3.698740284106189,0.0005890651829563936,1.999999999999961,2.0,take_profit,6.776988058459466,0.13164049155943622,1.1566825159754397,1.2044693255710277,UP,BUY,1.4425016961619184,False,67422.5824808542,0.012136233305500047,68243.72099999999,2.0
2026-03-03 16:20:00+00:00,2026-03-03 16:20:00+00:00,2026-03-03 16:25:00+00:00,2026-03-03 16:30:00+00:00,LONG,LONG,4.25,"{""delta"":""BUY"",""cvd"":""UP"",""aggressive_flow"":""BUY"",""vwap"":""LONG_CONFLUENCE"",""price_vs_poc"":""ABOVE""}",68857.2,68685.057,-50.66658213783981,LOSS,2,10,0.6721156248002944,3.707382815449929,-0.9999999999999791,2.0,stop_loss,6.776988058459466,0.8107733032952293,2.6928264088410576,2.1952412840988447,UP,BUY,1.9419130242436133,False,67477.33634443152,0.02594060469986475,69201.48599999999,2.0
2026-03-03 20:10:00+00:00,2026-03-03 20:10:00+00:00,2026-03-03 20:15:00+00:00,2026-03-03 20:20:00+00:00,SHORT,SHORT,-3.75,"{""delta"":""SELL"",""cvd"":""DOWN"",""aggressive_flow"":""SELL"",""vwap"":""NO_CONFLUENCE"",""price_vs_poc"":""ABOVE""}",68127.7,68298.01925,-50.413249227151816,LOSS,2,10,0.12505926370626289,1.27407794480072,-1.0000000000000029,2.0,stop_loss,6.776988058459466,-0.6835274530153795,-1.4414751636614924,-1.474807607000569,DOWN,SELL,0.3339411563816246,False,67645.38422588546,0.0021025677167758636,67787.0615,2.0
